2026-04-11 02:30:22,579 | INFO | PlaytimeScraper | playtime scroll 4/10: 24684 -> 29558
2026-04-11 02:30:24,564 | INFO | PlaytimeScraper | playtime scroll 5/10: 29558 -> 34565
2026-04-11 02:30:26,094 | INFO | PlaytimeScraper | playtime scroll 6/10: 34565 -> 34515
2026-04-11 02:30:27,611 | INFO | PlaytimeScraper | playtime scroll 7/10: 34515 -> 34515
2026-04-11 02:30:27,611 | INFO | PlaytimeScraper | Playtime NBA detection starting
2026-04-11 02:30:27,623 | WARNING | PlaytimeScraper | Playtime NBA section was not available; emitting placeholder row
2026-04-11 02:30:33,693 | INFO | PlaytimeScraper | Saved debug artifacts to output/playtime_debug.html and output/playtime_debug.png
2026-04-11 02:30:33,710 | INFO | PlaytimeScraper | PLAYTIME browser context closed
2026-04-11 02:30:33,788 | INFO | PlaytimeScraper | PLAYTIME browser closed
2026-04-11 02:30:33,811 | INFO | utils | Saved CSV backup to output/playtime_nba_matches.csv
2026-04-11 02:30:33,811 | INFO | PlaytimeScraper | PLAYTIME normalized rows: 1
2026-04-11 02:30:33,811 | INFO | __main__ | PLAYTIME scrape step finished with 1 rows
2026-04-11 02:30:33,843 | INFO | utils | Saved CSV backup to output/all_nba_matches_combined.csv
2026-04-11 02:30:33,843 | INFO | __main__ | Comparison generation starting
2026-04-11 02:30:33,857 | INFO | utils | Saved CSV backup to output/nba_comparison.csv
2026-04-11 02:30:33,857 | INFO | __main__ | Sports Plus rows scraped: 36
2026-04-11 02:30:33,857 | INFO | __main__ | PLAYTIME rows scraped: 1
2026-04-11 02:30:33,859 | INFO | __main__ | placeholder used for PLAYTIME: yes
2026-04-11 02:30:33,859 | INFO | __main__ | Combined rows after deduplication: 37
2026-04-11 02:30:33,868 | INFO | __main__ | Sample extracted rows:
source_label source_site                                  source_url                scraped_at category_name league_name sport_name match_date match_time      home_team     away_team match_status                   market_type selection_name odds handicap_or_line                                                                     raw_text
 SPORTS PLUS  sportsplus https://www.sportsplus.ph/sbk/l/339/matches 2026-04-11T02:29:36-04:00         TODAY         NBA Basketball 2026-04-12      18:00 Boston Celtics Orlando Magic    Scheduled     Handicap (Incl. Overtime) Boston Celtics 1.88            + 4.5 Handicap (Incl. Overtime) Boston Celtics Orlando Magic + 4.5 1.88 - 4.5 1.98
 SPORTS PLUS  sportsplus https://www.sportsplus.ph/sbk/l/339/matches 2026-04-11T02:29:36-04:00         TODAY         NBA Basketball 2026-04-12      18:00 Boston Celtics Orlando Magic    Scheduled     Handicap (Incl. Overtime)  Orlando Magic 1.98            - 4.5 Handicap (Incl. Overtime) Boston Celtics Orlando Magic + 4.5 1.88 - 4.5 1.98
 SPORTS PLUS  sportsplus https://www.sportsplus.ph/sbk/l/339/matches 2026-04-11T02:29:36-04:00         TODAY         NBA Basketball 2026-04-12      18:00 Boston Celtics Orlando Magic    Scheduled Over / Under (Incl. Overtime)           Over 1.93            216.5               Over / Under (Incl. Overtime) Over Under 216.5 1.93 216.5 1.91
 SPORTS PLUS  sportsplus https://www.sportsplus.ph/sbk/l/339/matches 2026-04-11T02:29:36-04:00         TODAY         NBA Basketball 2026-04-12      18:00 Boston Celtics Orlando Magic    Scheduled Over / Under (Incl. Overtime)          Under 1.91            216.5               Over / Under (Incl. Overtime) Over Under 216.5 1.93 216.5 1.91
 SPORTS PLUS  sportsplus https://www.sportsplus.ph/sbk/l/339/matches 2026-04-11T02:29:36-04:00         TODAY         NBA Basketball 2026-04-12      18:00 Boston Celtics Orlando Magic    Scheduled       Winner (Incl. Overtime) Boston Celtics 2.26                                                         Winner (Incl. Overtime) 1 2.26 2 1.57
