source_label,source_site,source_url,scraped_at,category_name,league_name,sport_name,match_date,match_time,home_team,away_team,match_status,market_type,selection_name,odds,handicap_or_line,raw_text
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:39-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Boston Celtics,Orlando Magic,Scheduled,Handicap (Incl. Overtime),Boston Celtics,1.97,+ 3.5,Handicap (Incl. Overtime) Boston Celtics Orlando Magic + 3.5 1.97 - 3.5 1.89
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:39-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Boston Celtics,Orlando Magic,Scheduled,Handicap (Incl. Overtime),Orlando Magic,1.89,- 3.5,Handicap (Incl. Overtime) Boston Celtics Orlando Magic + 3.5 1.97 - 3.5 1.89
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:39-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Boston Celtics,Orlando Magic,Scheduled,Over / Under (Incl. Overtime),Over,1.93,216.5,Over / Under (Incl. Overtime) Over Under 216.5 1.93 216.5 1.91
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:39-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Boston Celtics,Orlando Magic,Scheduled,Over / Under (Incl. Overtime),Under,1.91,216.5,Over / Under (Incl. Overtime) Over Under 216.5 1.93 216.5 1.91
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:39-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Boston Celtics,Orlando Magic,Scheduled,Winner (Incl. Overtime),Boston Celtics,2.19,,Winner (Incl. Overtime) 1 2.19 2 1.60
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:39-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Boston Celtics,Orlando Magic,Scheduled,Winner (Incl. Overtime),Orlando Magic,1.60,,Winner (Incl. Overtime) 1 2.19 2 1.60
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:42-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Miami Heat,Atlanta Hawks,Scheduled,Handicap (Incl. Overtime),Miami Heat,1.85,+ 6.5,Handicap (Incl. Overtime) Miami Heat Atlanta Hawks + 6.5 1.85 - 6.5 2.01
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:42-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Miami Heat,Atlanta Hawks,Scheduled,Handicap (Incl. Overtime),Atlanta Hawks,2.01,- 6.5,Handicap (Incl. Overtime) Miami Heat Atlanta Hawks + 6.5 1.85 - 6.5 2.01
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:42-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Miami Heat,Atlanta Hawks,Scheduled,Over / Under (Incl. Overtime),Over,1.90,243.5,Over / Under (Incl. Overtime) Over Under 243.5 1.90 243.5 1.94
SPORTS PLUS,sportsplus,https://www.sportsplus.ph/sbk/l/339/matches,2026-04-11T05:02:42-04:00,TODAY,NBA,Basketball,2026-04-12,18:00,Miami Heat,Atlanta Hawks,Scheduled,Over / Under (Incl. Overtime),Under,1.94,243.5,Over / Under (Incl. Overtime) Over Under 243.5 1.90 243.5 1.94
